id,latitude,longitude
0,50.76894064,0.28833127
1,50.76805618,0.28848666
2,51.5058057,-3.580408315
3,50.7970987,-1.094244222
4,52.93941791,0.489443032
5,50.76756863,0.283995443
6,52.23663935,-0.899308204
7,,
8,53.34524781,-1.427362299
9,50.81464499,-1.079483209
10,54.89321083,-2.934451369
11,50.80370378,0.30425119
12,55.94066321,-4.733723753
13,51.49223182,-0.224559114
14,53.55861169,-0.025252091
15,,
16,50.77147208,0.294071482
17,50.76876886,0.281033005
18,50.78873055,0.308707821
19,50.77420047,0.295736902
20,50.7689978,0.28771002
21,50.7967167,0.278093792
22,50.76272837,0.285447229
23,50.77233112,0.294751785
24,50.80370378,0.30425119
25,50.80334183,0.303906937
26,,
27,51.48870996,-0.096353995
28,50.76859764,0.282428752
29,51.39858477,-3.339099665
30,51.39858477,-3.339099665
31,51.66519047,-3.922782204
32,50.76894064,0.28833127
33,52.61086516,-1.136554652
34,52.03786013,1.136487562
35,55.84961165,-4.227355506
36,53.53417963,-2.564574635
37,50.77895471,0.300026883
38,50.79836074,0.281409438
39,51.53698235,0.082518299
40,51.40508979,-0.512310679
41,51.42618583,-1.034975687
42,53.19324047,0.338428978
43,51.55532114,-0.054351248
44,52.94247536,1.21074036
45,50.76773687,0.288258341
46,50.36781646,-4.13737086
47,50.76859764,0.282428752
48,50.38100849,-4.133111121
49,50.83752994,0.475040968
50,53.73044794,0.032988999
51,54.85251406,-1.832536004
52,54.96222422,-1.436391417
53,50.66982726,-1.566330654
54,50.67505257,-1.096056746
55,50.76830058,0.290696878
56,51.54184207,0.148142038
57,51.51383843,-0.473577668
58,51.66447125,-3.146856444
59,51.5106571,-0.13191417
60,51.1948554,0.274606294
61,53.19319267,0.345432711
62,53.19319267,0.345432711
63,52.09181273,-1.943861952
64,51.51917262,-0.060966019
65,57.15133471,-2.078194069
66,57.15089359,-2.079713707
67,57.15089359,-2.079713707
68,57.15089359,-2.079713707
69,,
70,57.14608455,-2.096873647
71,57.1477738,-2.096299643
72,57.1477738,-2.096299643
73,57.14734425,-2.094150096
74,57.15133471,-2.078194069
75,57.15133471,-2.078194069
76,57.14808047,-2.094664299
77,57.14699209,-2.0965455
78,57.14515433,-2.103084758
79,57.14553107,-2.103746831
80,57.1588791,-2.114860408
81,57.15984511,-2.159648475
82,57.16188588,-2.117581139
83,57.1501267,-2.172299768
84,57.20678407,-2.189779067
85,57.13275905,-2.089751725
86,57.14368354,-2.110764663
87,57.1507966,-2.101943534
88,57.14520605,-2.105695918
89,57.16829211,-2.094798765
90,57.14487492,-2.104224223
91,57.14532104,-2.096805544
92,57.13856387,-2.087237878
93,57.14725216,-2.097108074
94,57.17229009,-2.115530515
95,57.14286585,-2.111026604
96,57.19154423,-2.121183331
97,57.15063237,-2.093695691
98,57.10415979,-2.085786704
99,57.1555488,-2.161547422
100,57.14515433,-2.103084758
101,57.18154967,-2.096520047
102,57.13587044,-2.085083761
103,57.15316596,-2.104561644
104,57.1703334,-2.123280078
105,57.17685635,-2.187442231
106,57.12368565,-2.139392831
107,57.16715579,-2.153644675
108,57.12082744,-2.10409045
109,57.15924626,-2.142238019
110,57.44716704,-2.785377385
111,57.1588791,-2.114860408
112,57.12431446,-2.102151355
113,57.16699809,-2.095423779
114,57.1463513,-2.10034479
115,57.16594139,-2.162121922
116,57.28418354,-2.375993411
117,57.1485311,-2.092682225
118,57.15603379,-2.161615661
119,57.16439973,-2.144655269
120,57.15208748,-2.093881193
121,57.16188588,-2.117581139
122,57.14487492,-2.104224223
123,,
124,57.15146398,-2.15242254
